time,temperature_2m,relative_humidity_2m,precipitation,city
2026-08-26 14:00:00,26.8,61,0.3,Bengaluru
2026-08-26 15:00:00,26.9,62,0.3,Bengaluru
2026-08-26 16:00:00,26.7,63,0.3,Bengaluru
2026-08-26 17:00:00,26.4,64,0.3,Bengaluru
2026-08-26 18:00:00,25.8,66,0.1,Bengaluru
2026-08-26 19:00:00,24.9,70,0.1,Bengaluru
2026-08-26 20:00:00,23.7,76,0.1,Bengaluru
2026-08-26 21:00:00,22.6,81,0.1,Bengaluru
2026-08-26 22:00:00,21.7,86,0.1,Bengaluru
2026-08-26 23:00:00,21.0,90,0.1,Bengaluru
2026-08-20 00:00:00,22.2,88,0.0,Mysuru
2026-08-20 01:00:00,22.1,89,0.0,Mysuru
2026-08-20 02:00:00,22.0,90,0.0,Mysuru
2026-08-20 03:00:00,21.8,92,0.1,Mysuru
2026-08-20 04:00:00,21.7,93,0.1,Mysuru
2026-08-20 05:00:00,22.0,92,0.0,Mysuru
2026-08-20 06:00:00,22.0,92,0.0,Mysuru
2026-08-20 07:00:00,23.1,86,0.0,Mysuru
2026-08-20 08:00:00,24.5,78,0.0,Mysuru
2026-08-20 09:00:00,26.1,72,0.0,Mysuru
2026-08-20 10:00:00,27.1,66,0.0,Mysuru
2026-08-20 11:00:00,27.8,60,0.0,Mysuru
2026-08-20 12:00:00,28.4,59,0.1,Mysuru
2026-08-20 13:00:00,26.7,68,1.0,Mysuru
2026-08-20 14:00:00,28.7,58,0.1,Mysuru
2026-08-20 15:00:00,28.8,55,0.1,Mysuru
2026-08-20 16:00:00,27.3,59,0.0,Mysuru
2026-08-20 17:00:00,26.1,66,0.1,Mysuru
2026-08-20 18:00:00,24.6,74,0.1,Mysuru
2026-08-20 19:00:00,23.7,79,0.0,Mysuru
2026-08-20 20:00:00,22.9,81,0.0,Mysuru
2026-08-20 21:00:00,22.2,85,0.0,Mysuru
2026-08-20 22:00:00,21.7,88,0.0,Mysuru
2026-08-20 23:00:00,21.3,90,0.0,Mysuru
2026-08-21 00:00:00,20.9,92,0.0,Mysuru
